,Title,Year,Age,Rotten Tomatoes
73,The World According to Jeff Goldblum,2019,7+,65
74,Marvel's Ultimate Spider-Man,2012,7+,65
75,Amphibia,2019,7+,65
76,Gargoyles,1994,7+,64
77,The Suite Life of Zack & Cody,2005,all,64
78,Darkwing Duck,1991,7+,64
79,The Right Stuff,2020,16+,64
80,The Muppets,2015,7+,64
81,TRON: Uprising,2012,7+,64
82,The Mighty Ducks: Game Changers,2021,7+,63
83,Marvel's Avengers Assemble,2013,7+,63
84,Recess,1997,7+,63
85,Chip 'n' Dale Rescue Rangers,1989,all,63
86,Doug,1991,7+,63
87,I am Luna,2016,,62
88,Lizzie McGuire,2001,all,62
89,Cosmos: Possible Worlds,2020,7+,62
90,The Suite Life on Deck,2008,all,62
91,Hannah Montana,2006,all,61
92,Jessie,2011,all,61
93,Marvel's Inhumans,2017,7+,61
94,Gordon Ramsay: Uncharted,2019,16+,61
95,Disney's Adventures of the Gummi Bears,1985,all,61
96,Star Wars Resistance,2018,7+,60
97,That's So Raven,2003,all,60
98,Turner & Hooch,2021,7+,60
99,TaleSpin,1990,all,60
100,Mickey Mouse Clubhouse,2006,all,60
101,Even Stevens,2000,all,60
102,Andi Mack,2017,all,60
103,Behind the Attraction,2021,7+,59
104,Secrets of Sulphur Springs,2021,7+,59
105,Liv and Maddie,2013,all,59
106,Milo Murphy's Law,2016,all,59
107,Lab Rats,2012,7+,59
108,Lilo & Stitch: The Series,2003,all,59
109,So Weird,1999,7+,59
110,Austin & Ally,2011,all,59
111,The New Adventures of Winnie the Pooh,1988,all,59
112,Raven's Home,2017,all,59
113,Kickin' It,2011,all,58
114,Brain Games,2011,7+,58
115,Schoolhouse Rock,1973,7+,58
116,Dog Whisperer,2004,all,58
117,The Proud Family,2001,all,58
118,Sonny with a Chance,2009,all,58
119,Violetta,2012,all,58
120,The Lion King's Timon & Pumbaa,1995,all,58
121,Phil of the Future,2004,7+,57
122,Little Einsteins,2005,all,57
123,Shake It Up,2010,all,57
124,Hercules,1998,all,57
125,Rapunzel's Tangled Adventure,2017,all,56
126,Marvel's Guardians of the Galaxy,2015,7+,56
127,Smart Guy,1997,all,56
128,American Dragon: Jake Long,2005,all,56
129,Encore!,2019,7+,56
130,Mickey Mouse,2013,all,56
131,Marvel's Spider-Man,2017,7+,56
132,Diary of a Future President,2020,7+,56
133,Spider-Man and His Amazing Friends,1981,7+,56
134,Goof Troop,1992,all,55
135,Spider-Man Unlimited,1999,7+,55
136,The Little Mermaid,1992,all,55
137,Big City Greens,2018,7+,55
138,Zenimation,2020,all,55
139,Wicked Tuna,2012,16+,55
140,Big Hero 6 The Series,2017,7+,54
141,Inside Pixar,2020,all,54
142,Iron Man: Armored Adventures,2009,7+,54
143,Pair of Kings,2010,7+,54
144,Mighty Med,2013,7+,54
145,Special Agent Oso,2009,all,54
146,Imagination Movers,2008,all,54
147,Secrets of the Whales,2021,7+,54
148,Stuck in the Middle,2016,all,53
149,Jonas,2009,,53
150,MECH-X4,2016,all,53
151,The Wonderful World of Mickey Mouse,2020,all,53
152,The Emperor's New School,2006,all,53
153,Hostile Planet,2019,7+,53
154,Puppy Dog Pals,2017,all,53
155,Fantastic Four,1994,7+,52
156,I Didn't Do It,2014,all,52
157,The Lion Guard,2016,all,52
158,Pixar Popcorn,2021,7+,52
159,Lab Rats: Elite Force,2016,7+,52
160,A.N.T. Farm,2011,all,52
161,Silver Surfer,1998,7+,52
162,Muppets Now,2020,7+,52
163,Car S.O.S.,2013,,52
164,Sydney to the Max,2019,all,52
165,Vampirina,2017,all,52
166,Earth to Ned,2020,7+,51
167,Best Friends Whenever,2015,all,51
168,Into the Unknown: Making Frozen II,2020,7+,51
169,Elena of Avalor,2016,all,51
170,Prop Culture,2020,7+,51
171,Fantastic Four: World's Greatest Heroes,2006,7+,51
172,Jake and the Never Land Pirates,2011,all,51
173,Fish Hooks,2010,all,51
174,Drain the Oceans,2018,7+,51
175,The Replacements,2006,7+,51
176,Port Protection Alaska,2015,16+,51
177,"Dr. Oakley, Yukon Vet",2014,all,51
178,Ice Road Rescue,2015,,50
179,Marvel’s Hulk and the Agents of S.M.A.S.H,2013,7+,50
180,Super Robot Monkey Team Hyperforce Go!,2004,7+,50
181,Quack Pack,1996,7+,50
182,Descendants: Wicked World,2015,all,50
183,Muppet Babies,2018,all,50
184,T.O.T.S.,2019,all,50
185,One Day at Disney,2019,all,50
186,Pixar in Real Life,2019,all,50
187,Mighty Ducks: The Animated Series,1996,7+,50
188,Star Wars: Ewoks,1985,all,49
189,101 Dalmatians: The Series,1997,all,49
190,"Heartland Docs, DVM",2020,,49
191,BIA,2019,all,49
192,Marvel's Hero Project,2019,7+,49
193,Iron Man,1994,7+,49
194,Coop & Cami Ask The World,2018,all,49
195,Marvel Rising: Initiation,2018,,49
196,My Friends Tigger & Pooh,2007,all,48
197,Secrets of the Zoo,2018,,48
198,Bizaardvark,2016,all,48
199,The Mickey Mouse Club,1955,all,48
200,Marvel's 616,2020,,48
201,Turning the Tables with Robin Roberts,2021,,48
202,On Pointe,2020,7+,48
203,Race to the Center of the Earth,2021,,48
204,Out of the Box,1998,all,48
205,Gabby Duran and the Unsittables,2019,all,48
206,Dr. Ks Exotic Animal ER,2014,7+,48
207,Spin and Marty,1955,all,47
208,Higglytown Heroes,2004,all,47
209,Bonkers,1993,all,47
210,Crash & Bernstein,2012,all,47
211,Lego Star Wars: The Freemaker Adventures,2016,,47
212,Star Wars Vehicle Flythroughs,2021,,47
213,Randy Cunningham: Ninja Total,2012,all,47
214,Pick of the Litter,2019,7+,47
215,Lost Cities with Albert Lin,2019,,47
216,Earth Moods,2021,,47
217,Mickey and the Roadster Racers,2017,all,47
218,Star Wars: Forces of Destiny,2017,all,47
219,Magic of Disney's Animal Kingdom,2020,7+,47
220,Goldie & Bear,2015,all,47
221,Evermoor,2014,,46
222,Europe From Above,2019,,46
223,Dog: Impossible,2019,,46
224,Marvel's Ant-Man,2017,,46
225,Adventures in Wonderland,1992,7+,46
226,The Super Hero Squad Show,2009,7+,46
227,Critter Fixers: Country Vets,2020,16+,46
228,Great Migrations,2010,all,46
229,Origins: The Journey of Humankind,2017,,46
230,The Lodge,2016,,46
231,LEGO Star Wars: Droid Tales,2015,7+,46
232,Minnie's Bow-Toons,2011,all,45
233,Chip 'n' Dale: Park Life,2021,all,45
234,The Book of Pooh,2001,all,45
235,Shark Attack Files,2021,16+,45
236,The Avengers: United They Stand,1999,7+,45
237,Walt Disney Animation Studios: Short Circuit Experimental Films,2020,all,45
238,"Mira, Royal Detective",2020,all,45
239,Legend of the Three Caballeros,2018,all,45
240,The Greeks,2016,,44
241,Marvel's Future Avengers,2017,7+,44
242,Just Roll With It,2019,7+,44
243,101 Dalmatian Street,2019,7+,44
244,Spider-Woman,1979,all,44
245,Primal Survivor,2016,,44
246,Secrets of the Zoo: Tampa,2020,,43
247,Disney's Doug,1996,,43
248,Year Million,2017,16+,43
249,Rogue Trip,2020,7+,43
250,Fancy Nancy,2018,all,43
251,America's National Parks,2015,all,43
252,Wild Hawaii,2014,,43
253,Lego Frozen Northern Lights,2016,all,42
254,Dino Ranch,2021,all,42
255,Disney's Fairy Tale Weddings,2017,7+,42
256,Kingdom of the Polar Bears,2021,,42
257,Teacher's Pet,2000,all,42
258,Henry Hugglemonster,2013,all,42
259,Shop Class,2020,all,42
260,Alaska Animal Rescue,2020,,42
261,The Rocketeer,2019,all,42
262,Fast Layne,2019,all,41
263,Weird But True!,2016,all,41
264,Continent 7: Antarctica,2016,7+,41
265,Marvel's Rocket & Groot,2017,7+,41
266,Take Two with Phineas and Ferb,2010,7+,41
267,Be our Chef,2020,all,40
268,Japan: Between Earth & Sky,2018,,40
269,India from Above,2020,,40
270,Prairie Dog Manor,2019,,39
271,Marvel Super Hero Adventures,2017,all,39
272,Wild Yellowstone,2015,,39
273,Tut's Treasures: Hidden Secrets,2018,,39
274,Secrets of the Zoo: Down Under,2020,,39
275,Disney Channel Games 2008,2008,,39
276,UFOs: The Untold Stories,2012,,39
277,Animal ER,2016,16+,39
278,Fury Files,2017,,38
279,Disney Parks Sunrise,2020,,38
280,Marvel Funko Shorts,2016,all,38
281,Marvel Video Comics,2016,all,38
282,Secrets of Wild India,2012,,38
283,Buried Secrets of the Bible with Albert Lin,2019,,38
284,Supercar Megabuild,2016,,38
285,Kirby Buckets,2014,7+,38
286,Becoming,2020,16+,38
287,Kingdom of the White Wolf,2019,,37
288,Mickey Mouse Funhouse,2021,all,37
289,Disney Junior Music Lullabies,2019,,37
290,Wild Congo,2014,,37
291,Walk the Prank,2016,7+,37
292,Meet the Chimps,2020,,37
293,X-Ray Earth,2020,,37
294,It's a Dog's Life with Bill Farmer,2020,7+,37
295,Unlikely Animal Friends,2012,,36
296,Kingdom of the Mummies,2020,,36
297,Wild Sri Lanka,2015,7+,36
298,LEGO Star Wars: The Resistance Rises,2016,,36
299,Marvel Battleworld: Mystery of the Thanostones,2020,,36
300,"Dr. T, Lone Star Vet",2019,,35
301,Made in A Day,2020,,35
302,Bug Juice: My Adventures at Camp,2018,,35
303,Chip 'n Dale's Nutty Tales,2017,,35
304,Ancient China from Above,2020,,35
305,Wild Cats of India,2020,,35
306,Lost Treasures of the Maya,2019,,35
307,Star Wars Blips,2017,,34
308,Birth of Europe,2012,all,34
309,Alaska's Grizzly Gauntlet,2018,7+,34
310,Muppet Moments,2015,,34
311,Billy Dilley's Super-Duper Subterranean Summer,2017,7+,34
312,Mickey Go Local,2019,,34
313,Gathering Storm,2020,,33
314,Disney Fam Jam,2020,all,33
315,LEGO Star Wars: All-Stars,2018,7+,33
316,Out There with Jack Randall,2019,,33
317,Disney Junior Music Nursery Rhymes,2017,all,32
318,United States of Animals,2016,,32
319,Disney Family Sundays,2019,all,31
320,Rocky Mountain Animal Rescue,2018,,30
321,Wild Nordic,2019,,30
322,Wild Chile,2018,7+,30
323,Howie Mandel's Animals Doing Things,2018,all,30
324,The Big Fib,2020,all,29
325,Vampirina: Ghoul Girls Rock!,2018,all,28
326,Jungle Animal Rescue,2020,,28
327,Disney Insider,2012,,23
328,First Class Chefs: Family Style,2016,,23
329,101 Dalmatians,1997,,21
330,Spaced Out,2019,,20
331,Party Animals,2016,all,19
332,Nature Boom Time,2016,,18
333,Lost Treasures of Egypt,2019,,16
334,What Sam Sees,2018,,16
335,Scuba Sam's World,2018,,14
336,Calling All T.O.T.S.,2020,,14
337,Destination: World,2018,,14
338,Sam's Zookeeper Challenge,2019,,14
339,Marvel Funko,2017,,14
340,"Weirdest, Bestest, Truest",2018,all,14
341,Roll it Back,2019,,14
342,Animal Showdown,2018,,13
343,Love & Vets,2017,,13
344,Awesome Animals,2020,,13
345,Best Job Ever,2018,,10
346,Paradise Islands,2017,,10
347,Mexico Untamed,2018,,10
348,Wild Centeral America,2020,,10
349,Wild Russia,2018,,10
350,Fearless Adventures with Jack Randall,2018,,10
351,White Fang,2018,7+,76
352,Muppets Most Wanted,2014,7+,67
353,Zapped,2014,all,59
354,The Blue Umbrella,2005,,54
355,Sky High,2020,,51
356,For the Birds,2018,,50
357,Diary of a Wimpy Kid,2010,7+,67
358,The Kid,2019,18+,62
359,The Hunchback of Notre Dame,1923,,60
360,Teen Spirit,2019,13+,60
361,The Flood,2019,,50
362,Empire of Dreams: The Story of the Star Wars Trilogy,2004,,73
363,Pinocchio,2019,13+,72
364,Babes in Toyland,1934,,60
365,Cinderella,1965,all,59
366,Robin Hood,1922,,58
367,Wind,1992,13+,58
368,Gulliver's Travels,1939,all,57
369,Tarzan,2013,all,56
370,Inside Out,2005,,46
371,Noelle,2007,7+,44
372,The Swap,1979,18+,42
373,Mary Poppins,1964,all,96
374,Avengers: Endgame,2019,13+,90
375,Avengers: Infinity War,2018,13+,90
376,Star Wars: A New Hope,1977,7+,89
377,Star Wars: The Empire Strikes Back,1980,7+,89
378,Soul,2020,7+,89
379,Guardians of the Galaxy,2014,13+,89
380,The Lion King,1994,all,89
381,WALL·E,2008,all,88
382,The Avengers,2012,13+,88
383,The Many Adventures of Winnie the Pooh,1977,all,88
384,Toy Story,1995,all,88
385,Up,2009,7+,88
386,Star Wars: Return of the Jedi,1983,7+,87
387,Finding Nemo,2003,all,87
388,"Monsters, Inc.",2001,all,87
389,Coco,2017,7+,87
390,Avatar,2009,13+,86
391,Toy Story 3,2010,all,86
392,Thor: Ragnarok,2017,13+,86
393,Pirates of the Caribbean: The Curse of the Black Pearl,2003,13+,86
394,Captain America: Civil War,2016,13+,86
395,Star Wars: The Force Awakens,2015,13+,86
396,The Incredibles,2004,7+,86
397,Captain America: The Winter Soldier,2014,13+,86
398,Rogue One: A Star Wars Story,2016,13+,85
399,Guardians of the Galaxy Vol. 2,2017,13+,85
400,Zootopia,2016,7+,85
401,Ratatouille,2007,all,85
402,Doctor Strange,2016,13+,85
403,X-Men: Days of Future Past,2014,13+,85
404,Black Panther,2018,13+,84
405,Avengers: Age of Ultron,2015,13+,84
406,The Princess Bride,1987,7+,84
407,Big Hero 6,2014,7+,84
408,Toy Story 2,1999,all,84
409,Aladdin,1992,all,84
410,Ant-Man,2015,13+,84
411,Moana,2016,7+,83
412,Hidden Figures,2016,7+,83
413,Frozen,2013,7+,83
414,Star Wars: Episode III - Revenge of the Sith,2005,13+,83
415,Wreck-It Ralph,2012,7+,83
416,Incredibles 2,2018,7+,83
417,Tangled,2010,7+,83
418,Iron Man 3,2013,13+,83
419,The Nightmare Before Christmas,1993,7+,83
420,Luca,2021,7+,82
421,Home Alone,1990,7+,82
422,Captain America: The First Avenger,2011,13+,82
423,Thor,2011,13+,82
424,X2,2003,13+,82
425,Iron Man 2,2010,13+,82
426,The Greatest Showman,2017,7+,82
427,Pirates of the Caribbean: Dead Man's Chest,2006,13+,82
428,Toy Story 4,2019,all,82
429,Star Wars: The Last Jedi,2017,13+,82
430,Tinker Bell and the Lost Treasure,2009,all,81
431,Hamilton,2020,13+,81
432,Captain Marvel,2019,13+,81
433,Thor: The Dark World,2013,13+,81
434,Raya and the Last Dragon,2021,7+,81
435,Ant-Man and the Wasp,2018,13+,81
436,Fantastic Mr. Fox,2009,7+,81
437,Finding Dory,2016,7+,81
438,Mulan,1998,all,81
439,Pirates of the Caribbean: At World's End,2007,13+,81
440,Cars,2006,all,81
441,X-Men: Apocalypse,2016,13+,80
442,Monsters University,2013,all,80
443,Brave,2012,7+,80
444,Onward,2020,7+,80
445,The Sound of Music,1965,all,80
446,Isle of Dogs,2018,13+,80
447,Who Framed Roger Rabbit,1988,7+,80
448,The Sandlot,1993,7+,79
449,Solo: A Star Wars Story,2018,13+,79
450,A Bug's Life,1998,all,79
451,Star Wars: Episode I - The Phantom Menace,1999,7+,79
452,Remember the Titans,2000,7+,79
453,Ralph Breaks the Internet,2018,7+,79
454,Black Is King,2020,16+,79
455,Lilo & Stitch,2002,7+,79
456,The Emperor's New Groove,2000,all,78
457,Star Wars: The Rise of Skywalker,2019,13+,78
458,Star Wars: Episode II - Attack of the Clones,2002,7+,78
459,The Simpsons Movie,2007,13+,78
460,Frozen II,2019,7+,78
461,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,7+,78
462,X-Men: The Last Stand,2006,13+,78
463,Snow White and the Seven Dwarfs,1937,all,78
464,X-Men Origins: Wolverine,2009,13+,78
465,Sanjay's Super Team,2015,7+,78
466,Pirates of the Caribbean: Dead Men Tell No Tales,2017,13+,78
467,Home Alone 2: Lost in New York,1992,7+,77
468,The Color of Friendship,2000,7+,77
469,Free Solo,2018,13+,77
470,The Princess and the Frog,2009,all,77
471,Alice in Wonderland,1951,all,77
472,Rio,2011,all,77
473,Saving Mr. Banks,2013,13+,77
474,Ice Age: Dawn of the Dinosaurs,2009,7+,76
475,Miss Peregrine's Home for Peculiar Children,2016,13+,76
476,Bolt,2008,7+,76
477,That Darn Cat!,1965,all,76
478,Night at the Museum,2006,7+,76
479,One Hundred and One Dalmatians,1961,all,76
480,Lady and the Tramp,1955,all,76
481,Bambi,1942,all,76
482,Togo,2019,7+,76
483,The Straight Story,1999,all,76
484,Peter Pan,1953,all,76
485,Cars 3,2017,all,76
486,Fantasia,1940,all,76
487,Maleficent: Mistress of Evil,2019,7+,76
488,Ice Age: The Meltdown,2006,7+,76
489,Treasure Planet,2002,7+,75
490,Anastasia,1997,all,75
491,Pooh's Heffalump Movie,2005,all,75
492,John Carter,2012,13+,75
493,Willow,1988,7+,75
494,Dumbo,1941,all,75
495,Sleeping Beauty,1959,all,75
496,We Bought a Zoo,2011,7+,75
497,Pocahontas,1995,all,75
498,The Good Dinosaur,2015,7+,75
499,The Aristocats,1970,all,75
500,National Treasure: Book of Secrets,2007,7+,75
501,Hocus Pocus,1993,7+,75
502,Cool Runnings,1993,7+,75
503,Christopher Robin,2018,7+,75
504,Stargirl,2020,7+,74
505,Eddie the Eagle,2016,13+,74
506,Atlantis: The Lost Empire,2001,7+,74
507,The Book of Life,2014,7+,74
508,The Parent Trap,1998,7+,74
509,Before the Flood,2016,7+,74
510,Piper,2016,all,74
511,The Fox and the Hound,1981,all,74
512,Cars 2,2011,all,74
513,Prince of Persia: The Sands of Time,2010,13+,74
514,The Sword in the Stone,1963,all,74
515,The Chronicles of Narnia: Prince Caspian,2008,7+,74
516,Tron,1982,7+,74
517,Frank and Ollie,1995,7+,73
518,Holes,2003,7+,73
519,Meet the Robinsons,2007,all,73
520,The Princess Diaries,2001,all,73
521,Horton Hears a Who!,2008,all,73
522,Alice Through the Looking Glass,2016,7+,73
523,Night at the Museum: Battle of the Smithsonian,2009,7+,73
524,Brother Bear,2003,all,73
525,Mary Poppins Returns,2018,7+,73
526,Timmy Failure: Mistakes Were Made,2020,7+,73
527,The Muppet Christmas Carol,1992,all,72
528,Presto,2008,all,72
529,Ferdinand,2017,7+,72
530,Miracle,2004,7+,72
531,The Finest Hours,2016,13+,72
532,"Honey, I Shrunk the Kids",1989,7+,72
533,The Santa Clause,1994,7+,72
534,Percy Jackson & the Olympians: The Lightning Thief,2010,7+,72
535,The Peanuts Movie,2015,all,72
536,Frankenweenie,2012,7+,72
537,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,7+,72
538,Geri's Game,1997,all,72
539,Into the Woods,2014,7+,72
540,Piglet's Big Movie,2003,all,72
541,Pete's Dragon,2016,7+,72
542,Freaky Friday,2003,7+,71
543,Fantastic Four: Rise of the Silver Surfer,2007,13+,71
544,Sister Act,1992,7+,71
545,The Sorcerer's Apprentice,2010,7+,71
546,EverAfter,1998,13+,71
547,A Goofy Movie,1995,all,71
548,Bend It Like Beckham,2002,13+,71
549,Lifted,2006,all,71
550,Big Business,1988,7+,71
551,Roving Mars,2006,7+,71
552,The Lion King II: Simba's Pride,1998,all,71
553,La luna,2012,all,71
554,The Muppet Movie,1979,all,71
555,Percy Jackson: Sea of Monsters,2013,7+,70
556,The Rescuers,1977,all,70
557,Partly Cloudy,2009,all,70
558,Iron Will,1994,7+,70
559,Eight Below,2006,7+,70
560,Homeward Bound: The Incredible Journey,1993,all,70
561,James and the Giant Peach,1996,7+,70
562,Adventures in Babysitting,1987,13+,70
563,The Great Mouse Detective,1986,all,70
564,Day & Night,2010,all,70
565,Flight of the Navigator,1986,7+,70
566,The Mighty Ducks,1992,7+,70
567,BURN·E,2008,all,70
568,The Lion King 1½,2004,all,70
569,Mickey's Christmas Carol,1983,all,70
570,Bedtime Stories,2008,7+,69
571,The Last Song,2010,7+,69
572,Ice Age: Collision Course,2016,all,69
573,Mr. Holland's Opus,1995,7+,69
574,Secretariat,2010,7+,69
575,Fantasia 2000,1999,all,69
576,Oliver & Company,1988,all,69
577,Melody Time,1948,,69
578,Newsies: The Broadway Musical,2017,7+,69
579,Bao,2018,all,69
580,Splash,1984,7+,69
581,"20,000 Leagues Under the Sea",1954,all,69
582,Dinosaur,2000,7+,69
583,Cheaper by the Dozen,2003,7+,69
584,The Rescuers Down Under,1990,all,69
585,Chicken Little,2005,all,68
586,The Princess Diaries 2: Royal Engagement,2004,all,68
587,101 Dalmatians II: Patch's London Adventure,2003,all,68
588,High School Musical,2006,all,68
589,Descendants,2015,all,68
590,Winnie the Pooh,2011,all,68
591,The Greatest Game Ever Played,2005,7+,68
592,Lava,2014,all,68
593,Bedknobs and Broomsticks,1971,all,68
594,Queen of Katwe,2016,7+,68
595,The Game Plan,2007,7+,68
596,Glory Road,2006,7+,68
597,D2: The Mighty Ducks,1994,7+,68
598,The Cat from Outer Space,1978,all,68
599,Toy Story of Terror!,2013,all,68
600,DuckTales: The Movie - Treasure of the Lost Lamp,1990,all,68
601,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,7+,67
602,The Odd Life of Timothy Green,2012,7+,67
603,Jack-Jack Attack,2005,all,67
604,The Three Musketeers,1993,7+,67
605,Aladdin and the King of Thieves,1996,all,67
606,Descendants 3,2019,all,67
607,Secret of the Wings,2012,all,67
608,The Pacifier,2005,7+,67
609,The One and Only Ivan,2020,7+,67
610,Toy Story That Time Forgot,2014,all,67
611,Muppet Treasure Island,1996,all,67
612,Gnomeo & Juliet,2011,all,67
613,Tinker Bell,2008,all,67
614,Return to Oz,1985,7+,66
615,The Santa Clause 2,2002,all,66
616,The Black Cauldron,1985,7+,66
617,Tinker Bell and the Legend of the NeverBeast,2014,all,66
618,The Big Year,2011,7+,66
619,Around the World in 80 Days,2004,7+,66
620,Herbie Goes to Monte Carlo,1977,all,66
621,3 Men and a Baby,1987,7+,66
622,Lemonade Mouth,2011,all,66
623,Tinker Bell and the Pirate Fairy,2014,all,66
624,One Man Band,2005,all,66
625,Flubber,1997,7+,66
626,Newsies,1992,7+,66
627,"Hello, Dolly!",1969,all,66
628,Halloweentown,1998,all,66
629,Sister Act 2: Back in the Habit,1993,7+,66
630,Jack,1996,13+,66
631,Race to Witch Mountain,2009,7+,66
632,Diary of a Wimpy Kid: Rodrick Rules,2011,7+,66
633,Maggie Simpson in The Longest Daycare,2012,7+,66
634,Knick Knack,1989,all,66
635,Planes,2013,7+,66
636,George of the Jungle,1997,7+,66
637,Descendants 2,2017,all,66
638,The Adventures of Ichabod and Mr. Toad,1949,7+,65
639,Heavyweights,1995,7+,65
640,Destino,2003,7+,65
641,The Great Muppet Caper,1981,all,65
642,Cheaper by the Dozen 2,2005,7+,65
643,You Again,2010,7+,65
644,Lou,2017,all,65
645,Mike's New Car,2002,all,65
646,Oklahoma!,1955,all,65
647,Baby's Day Out,1994,7+,65
648,Mulan II,2004,all,65
649,High School Musical 2,2007,all,65
650,Riley's First Date?,2015,all,65
651,Mickey's Once Upon a Christmas,1999,all,65
652,Old Yeller,1957,all,65
653,Recess: Taking the Fifth Grade,2003,all,65
654,Lilo & Stitch 2: Stitch Has a Glitch,2005,7+,65
655,The Nutcracker and the Four Realms,2018,7+,65
656,Phineas and Ferb: The Movie: Across the 2nd Dimension,2011,all,65
657,22 vs. Earth,2021,all,64
658,The Kid Who Would Be King,2019,7+,64
659,The Return of Jafar,1994,all,64
660,"The Simpsons: The Good, the Bart, and the Loki",2021,7+,64
661,Journey to the Center of the Earth,1959,all,64
662,Marvel Rising: Secret Warriors,2018,,64
663,Luxo Jr.,1986,all,64
664,One Magic Christmas,1985,all,64
665,Tinker Bell and the Great Fairy Rescue,2010,all,64
666,Kitbull,2019,7+,64
667,Steamboat Willie,1928,all,64
668,The Lizzie McGuire Movie,2003,7+,64
669,Tuck Everlasting,2002,7+,64
670,Red Tails,2012,13+,64
671,Folklore: The Long Pond Studio Sessions,2020,7+,64
672,Us Again,2021,all,64
673,The Haunted Mansion,2003,7+,64
674,Ice Princess,2005,all,64
675,High School Musical 3: Senior Year,2008,all,64
676,Jane,2017,7+,64
677,Boundin',2003,all,64
678,Oceans,2010,all,64
679,Hawaiian Vacation,2011,all,64
680,The Three Caballeros,1944,all,64
681,Mars Needs Moms,2011,7+,63
682,Prep & Landing,2009,all,63
683,The Tigger Movie,2000,all,63
684,Princess Protection Program,2009,all,63
685,Pollyanna,1960,all,63
686,The Little Mermaid: Ariel's Beginning,2008,7+,63
687,Small Fry,2011,all,63
688,The Black Hole,1979,7+,63
689,Bears,2014,all,63
690,Starstruck,2010,all,63
691,The Wizards Return: Alex vs. Alex,2013,7+,63
692,Phineas and Ferb: The Movie: Candace Against the Universe,2020,all,63
693,Godmothered,2020,7+,63
694,Inner Workings,2016,all,63
695,Cinderella III: A Twist in Time,2007,all,63
696,Wizards of Waverly Place: The Movie,2009,7+,63
697,Recess: School's Out,2001,all,63
698,Kronk's New Groove,2005,all,63
699,Partysaurus Rex,2012,all,63
700,The Little Mermaid II: Return to the Sea,2000,7+,63
701,The Love Bug,1968,all,63
702,Home Alone 3,1997,7+,62
703,Strange Magic,2015,7+,62
704,Flora & Ulysses,2021,7+,62
705,Camp Rock,2008,all,62
706,Brother Bear 2,2006,all,62
707,Wild Hearts Can't Be Broken,1991,all,62
