,Streaming Service,Date,Subscription Price
75,Netflix,10/2017,7.99
76,Netflix,11/2017,7.99
77,Netflix,12/2017,7.99
78,Netflix,1/2018,7.99
79,Netflix,2/2018,7.99
80,Netflix,3/2018,7.99
81,Netflix,4/2018,7.99
82,Netflix,5/2018,7.99
83,Netflix,6/2018,7.99
84,Netflix,7/2018,7.99
85,Netflix,8/2018,7.99
86,Netflix,9/2018,7.99
87,Netflix,10/2018,7.99
88,Netflix,11/2018,7.99
89,Netflix,12/2018,7.99
90,Netflix,1/2019,8.99
91,Netflix,2/2019,8.99
92,Netflix,3/2019,8.99
93,Netflix,4/2019,8.99
94,Netflix,5/2019,8.99
95,Netflix,6/2019,8.99
96,Netflix,7/2019,8.99
97,Netflix,8/2019,8.99
98,Netflix,9/2019,8.99
99,Netflix,10/2019,8.99
100,Netflix,11/2019,8.99
101,Netflix,12/2019,8.99
102,Netflix,1/2020,8.99
103,Netflix,2/2020,8.99
104,Netflix,3/2020,8.99
105,Netflix,4/2020,8.99
106,Netflix,5/2020,8.99
107,Netflix,6/2020,8.99
108,Netflix,7/2020,8.99
109,Netflix,8/2020,8.99
110,Netflix,9/2020,8.99
111,Netflix,10/2020,8.99
112,Netflix,11/2020,8.99
113,Netflix,12/2020,8.99
114,Netflix,1/2021,8.99
115,Netflix,2/2021,8.99
116,Netflix,3/2021,8.99
117,Netflix,4/2021,8.99
118,Netflix,5/2021,8.99
119,Netflix,6/2021,8.99
120,Netflix,7/2021,8.99
121,Netflix,8/2021,8.99
122,Netflix,9/2021,8.99
123,Netflix,10/2021,8.99
124,Netflix,11/2021,8.99
125,Netflix,12/2021,8.99
126,Netflix,1/2022,9.99
127,Netflix,2/2022,9.99
128,Netflix,3/2022,9.99
129,Netflix,4/2022,9.99
130,Netflix,5/2022,9.99
131,Netflix,6/2022,9.99
132,Netflix,7/2022,9.99
133,Netflix,8/2022,9.99
134,Netflix,9/2022,9.99
135,Netflix,10/2022,9.99
136,Netflix,11/2022,9.99
137,Netflix,12/2022,9.99
138,Netflix,1/2023,9.99
139,Netflix,2/2023,9.99
140,Netflix,3/2023,9.99
141,Netflix,4/2023,9.99
142,Netflix,5/2023,9.99
143,Netflix,6/2023,9.99
144,Netflix,7/2023,9.99
145,Netflix,8/2023,9.99
146,Netflix,9/2023,9.99
147,Netflix,10/2023,15.49
148,Netflix,11/2023,15.49
149,Netflix,12/2023,15.49
150,Netflix,1/2024,15.49
151,Disney+,11/2019,6.99
152,Disney+,12/2019,6.99
153,Disney+,1/2020,6.99
154,Disney+,2/2020,6.99
155,Disney+,3/2020,6.99
156,Disney+,4/2020,6.99
157,Disney+,5/2020,6.99
158,Disney+,6/2020,6.99
159,Disney+,7/2020,6.99
160,Disney+,8/2020,6.99
161,Disney+,9/2020,6.99
162,Disney+,10/2020,6.99
163,Disney+,11/2020,6.99
164,Disney+,12/2020,6.99
165,Disney+,1/2021,6.99
166,Disney+,2/2021,6.99
167,Disney+,3/2021,7.99
168,Disney+,4/2021,7.99
169,Disney+,5/2021,7.99
170,Disney+,6/2021,7.99
171,Disney+,7/2021,7.99
172,Disney+,8/2021,7.99
173,Disney+,9/2021,7.99
174,Disney+,10/2021,7.99
175,Disney+,11/2021,7.99
176,Disney+,12/2021,7.99
177,Disney+,1/2022,7.99
178,Disney+,2/2022,7.99
179,Disney+,3/2022,7.99
180,Disney+,4/2022,7.99
181,Disney+,5/2022,7.99
182,Disney+,6/2022,7.99
183,Disney+,7/2022,7.99
184,Disney+,8/2022,7.99
185,Disney+,9/2022,7.99
186,Disney+,10/2022,7.99
187,Disney+,11/2022,7.99
188,Disney+,12/2022,10.99
189,Disney+,1/2023,10.99
190,Disney+,2/2023,10.99
191,Disney+,3/2023,10.99
192,Disney+,4/2023,10.99
193,Disney+,5/2023,10.99
194,Disney+,6/2023,10.99
195,Disney+,7/2023,10.99
196,Disney+,8/2023,10.99
197,Disney+,9/2023,10.99
198,Disney+,10/2023,13.99
199,Disney+,11/2023,13.99
200,Disney+,12/2023,13.99
201,Disney+,1/2024,13.99
247,Hulu,10/2015,11.99
248,Hulu,11/2015,11.99
249,Hulu,12/2015,11.99
250,Hulu,1/2016,11.99
251,Hulu,2/2016,11.99
252,Hulu,3/2016,11.99
253,Hulu,4/2016,11.99
254,Hulu,5/2016,11.99
255,Hulu,6/2016,11.99
256,Hulu,7/2016,11.99
257,Hulu,8/2016,11.99
258,Hulu,9/2016,11.99
259,Hulu,10/2016,11.99
260,Hulu,11/2016,11.99
261,Hulu,12/2016,11.99
262,Hulu,1/2017,11.99
263,Hulu,2/2017,11.99
264,Hulu,3/2017,11.99
265,Hulu,4/2017,11.99
266,Hulu,5/2017,11.99
267,Hulu,6/2017,11.99
268,Hulu,7/2017,11.99
269,Hulu,8/2017,11.99
270,Hulu,9/2017,11.99
271,Hulu,10/2017,11.99
272,Hulu,11/2017,11.99
273,Hulu,12/2017,11.99
274,Hulu,1/2018,11.99
275,Hulu,2/2018,11.99
276,Hulu,3/2018,11.99
277,Hulu,4/2018,11.99
278,Hulu,5/2018,11.99
279,Hulu,6/2018,11.99
280,Hulu,7/2018,11.99
281,Hulu,8/2018,11.99
282,Hulu,9/2018,11.99
283,Hulu,10/2018,11.99
284,Hulu,11/2018,11.99
285,Hulu,12/2018,11.99
286,Hulu,1/2019,11.99
287,Hulu,2/2019,11.99
288,Hulu,3/2019,11.99
289,Hulu,4/2019,11.99
290,Hulu,5/2019,11.99
291,Hulu,6/2019,11.99
292,Hulu,7/2019,11.99
293,Hulu,8/2019,11.99
294,Hulu,9/2019,11.99
295,Hulu,10/2019,11.99
296,Hulu,11/2019,11.99
297,Hulu,12/2019,11.99
298,Hulu,1/2020,11.99
299,Hulu,2/2020,11.99
300,Hulu,3/2020,11.99
301,Hulu,4/2020,11.99
302,Hulu,5/2020,11.99
303,Hulu,6/2020,11.99
304,Hulu,7/2020,11.99
305,Hulu,8/2020,11.99
306,Hulu,9/2020,11.99
307,Hulu,10/2020,11.99
308,Hulu,11/2020,11.99
309,Hulu,12/2020,11.99
310,Hulu,1/2021,11.99
311,Hulu,2/2021,11.99
312,Hulu,3/2021,11.99
313,Hulu,4/2021,11.99
314,Hulu,5/2021,11.99
315,Hulu,6/2021,11.99
316,Hulu,7/2021,11.99
317,Hulu,8/2021,11.99
318,Hulu,9/2021,11.99
319,Hulu,10/2021,12.99
320,Hulu,11/2021,12.99
321,Hulu,12/2021,12.99
322,Hulu,1/2022,12.99
323,Hulu,2/2022,12.99
324,Hulu,3/2022,12.99
325,Hulu,4/2022,12.99
326,Hulu,5/2022,12.99
327,Hulu,6/2022,12.99
328,Hulu,7/2022,12.99
329,Hulu,8/2022,12.99
330,Hulu,9/2022,12.99
331,Hulu,10/2022,12.99
332,Hulu,11/2022,12.99
333,Hulu,12/2022,14.99
334,Hulu,1/2023,14.99
335,Hulu,2/2023,14.99
336,Hulu,3/2023,14.99
337,Hulu,4/2023,14.99
338,Hulu,5/2023,14.99
339,Hulu,6/2023,14.99
340,Hulu,7/2023,14.99
341,Hulu,8/2023,14.99
342,Hulu,9/2023,14.99
343,Hulu,10/2023,14.99
344,Hulu,11/2023,14.99
345,Hulu,12/2023,14.99
346,Hulu,1/2024,17.99
459,Prime Video,4/2016,8.99
460,Prime Video,5/2016,8.99
461,Prime Video,6/2016,8.99
462,Prime Video,7/2016,8.99
463,Prime Video,8/2016,8.99
464,Prime Video,9/2016,8.99
465,Prime Video,10/2016,8.99
466,Prime Video,11/2016,8.99
467,Prime Video,12/2016,8.99
468,Prime Video,1/2017,8.99
469,Prime Video,2/2017,8.99
470,Prime Video,3/2017,8.99
471,Prime Video,4/2017,8.99
472,Prime Video,5/2017,8.99
473,Prime Video,6/2017,8.99
474,Prime Video,7/2017,8.99
475,Prime Video,8/2017,8.99
476,Prime Video,9/2017,8.99
477,Prime Video,10/2017,8.99
478,Prime Video,11/2017,8.99
479,Prime Video,12/2017,8.99
480,Prime Video,1/2018,8.99
481,Prime Video,2/2018,8.99
482,Prime Video,3/2018,8.99
483,Prime Video,4/2018,8.99
484,Prime Video,5/2018,8.99
485,Prime Video,6/2018,8.99
486,Prime Video,7/2018,8.99
487,Prime Video,8/2018,8.99
488,Prime Video,9/2018,8.99
489,Prime Video,10/2018,8.99
490,Prime Video,11/2018,8.99
491,Prime Video,12/2018,8.99
492,Prime Video,1/2019,8.99
493,Prime Video,2/2019,8.99
494,Prime Video,3/2019,8.99
495,Prime Video,4/2019,8.99
496,Prime Video,5/2019,8.99
497,Prime Video,6/2019,8.99
498,Prime Video,7/2019,8.99
499,Prime Video,8/2019,8.99
500,Prime Video,9/2019,8.99
501,Prime Video,10/2019,8.99
502,Prime Video,11/2019,8.99
503,Prime Video,12/2019,8.99
504,Prime Video,1/2020,8.99
505,Prime Video,2/2020,8.99
506,Prime Video,3/2020,8.99
507,Prime Video,4/2020,8.99
508,Prime Video,5/2020,8.99
509,Prime Video,6/2020,8.99
510,Prime Video,7/2020,8.99
511,Prime Video,8/2020,8.99
512,Prime Video,9/2020,8.99
513,Prime Video,10/2020,8.99
514,Prime Video,11/2020,8.99
515,Prime Video,12/2020,8.99
516,Prime Video,1/2021,8.99
517,Prime Video,2/2021,8.99
518,Prime Video,3/2021,8.99
519,Prime Video,4/2021,8.99
520,Prime Video,5/2021,8.99
521,Prime Video,6/2021,8.99
522,Prime Video,7/2021,8.99
523,Prime Video,8/2021,8.99
524,Prime Video,9/2021,8.99
525,Prime Video,10/2021,8.99
526,Prime Video,11/2021,8.99
527,Prime Video,12/2021,8.99
528,Prime Video,1/2022,8.99
529,Prime Video,2/2022,8.99
530,Prime Video,3/2022,8.99
531,Prime Video,4/2022,8.99
532,Prime Video,5/2022,8.99
533,Prime Video,6/2022,8.99
534,Prime Video,7/2022,8.99
535,Prime Video,8/2022,8.99
536,Prime Video,9/2022,8.99
537,Prime Video,10/2022,8.99
538,Prime Video,11/2022,8.99
539,Prime Video,12/2022,8.99
540,Prime Video,1/2023,8.99
541,Prime Video,2/2023,8.99
542,Prime Video,3/2023,8.99
543,Prime Video,4/2023,8.99
544,Prime Video,5/2023,8.99
545,Prime Video,6/2023,8.99
546,Prime Video,7/2023,8.99
547,Prime Video,8/2023,8.99
548,Prime Video,9/2023,8.99
549,Prime Video,10/2023,8.99
550,Prime Video,11/2023,8.99
551,Prime Video,12/2023,8.99
552,Prime Video,1/2024,11.99
