,Streaming Service,Date,Subscription Price
75,Netflix,10/2017,7.99
76,Netflix,11/2017,7.99
77,Netflix,12/2017,7.99
78,Netflix,1/2018,7.99
79,Netflix,2/2018,7.99
80,Netflix,3/2018,7.99
81,Netflix,4/2018,7.99
82,Netflix,5/2018,7.99
83,Netflix,6/2018,7.99
84,Netflix,7/2018,7.99
85,Netflix,8/2018,7.99
86,Netflix,9/2018,7.99
87,Netflix,10/2018,7.99
88,Netflix,11/2018,7.99
89,Netflix,12/2018,7.99
90,Netflix,1/2019,8.99
91,Netflix,2/2019,8.99
92,Netflix,3/2019,8.99
93,Netflix,4/2019,8.99
94,Netflix,5/2019,8.99
95,Netflix,6/2019,8.99
96,Netflix,7/2019,8.99
97,Netflix,8/2019,8.99
98,Netflix,9/2019,8.99
99,Netflix,10/2019,8.99
100,Netflix,11/2019,8.99
101,Netflix,12/2019,8.99
102,Netflix,1/2020,8.99
103,Netflix,2/2020,8.99
104,Netflix,3/2020,8.99
105,Netflix,4/2020,8.99
106,Netflix,5/2020,8.99
107,Netflix,6/2020,8.99
108,Netflix,7/2020,8.99
109,Netflix,8/2020,8.99
110,Netflix,9/2020,8.99
111,Netflix,10/2020,8.99
112,Netflix,11/2020,8.99
113,Netflix,12/2020,8.99
114,Netflix,1/2021,8.99
115,Netflix,2/2021,8.99
116,Netflix,3/2021,8.99
117,Netflix,4/2021,8.99
118,Netflix,5/2021,8.99
119,Netflix,6/2021,8.99
120,Netflix,7/2021,8.99
121,Netflix,8/2021,8.99
122,Netflix,9/2021,8.99
123,Netflix,10/2021,8.99
124,Netflix,11/2021,8.99
125,Netflix,12/2021,8.99
126,Netflix,1/2022,9.99
127,Netflix,2/2022,9.99
128,Netflix,3/2022,9.99
129,Netflix,4/2022,9.99
130,Netflix,5/2022,9.99
131,Netflix,6/2022,9.99
132,Netflix,7/2022,9.99
133,Netflix,8/2022,9.99
134,Netflix,9/2022,9.99
135,Netflix,10/2022,9.99
136,Netflix,11/2022,9.99
137,Netflix,12/2022,9.99
138,Netflix,1/2023,9.99
139,Netflix,2/2023,9.99
140,Netflix,3/2023,9.99
141,Netflix,4/2023,9.99
142,Netflix,5/2023,9.99
143,Netflix,6/2023,9.99
144,Netflix,7/2023,9.99
145,Netflix,8/2023,9.99
146,Netflix,9/2023,9.99
147,Netflix,10/2023,15.49
148,Netflix,11/2023,15.49
149,Netflix,12/2023,15.49
150,Netflix,1/2024,15.49
151,Disney+,11/2019,6.99
152,Disney+,12/2019,6.99
153,Disney+,1/2020,6.99
154,Disney+,2/2020,6.99
155,Disney+,3/2020,6.99
156,Disney+,4/2020,6.99
157,Disney+,5/2020,6.99
158,Disney+,6/2020,6.99
159,Disney+,7/2020,6.99
160,Disney+,8/2020,6.99
161,Disney+,9/2020,6.99
162,Disney+,10/2020,6.99
163,Disney+,11/2020,6.99
164,Disney+,12/2020,6.99
165,Disney+,1/2021,6.99
166,Disney+,2/2021,6.99
167,Disney+,3/2021,7.99
168,Disney+,4/2021,7.99
169,Disney+,5/2021,7.99
170,Disney+,6/2021,7.99
171,Disney+,7/2021,7.99
172,Disney+,8/2021,7.99
173,Disney+,9/2021,7.99
174,Disney+,10/2021,7.99
175,Disney+,11/2021,7.99
176,Disney+,12/2021,7.99
177,Disney+,1/2022,7.99
178,Disney+,2/2022,7.99
179,Disney+,3/2022,7.99
180,Disney+,4/2022,7.99
181,Disney+,5/2022,7.99
182,Disney+,6/2022,7.99
183,Disney+,7/2022,7.99
184,Disney+,8/2022,7.99
185,Disney+,9/2022,7.99
186,Disney+,10/2022,7.99
187,Disney+,11/2022,7.99
188,Disney+,12/2022,10.99
189,Disney+,1/2023,10.99
190,Disney+,2/2023,10.99
191,Disney+,3/2023,10.99
192,Disney+,4/2023,10.99
193,Disney+,5/2023,10.99
194,Disney+,6/2023,10.99
195,Disney+,7/2023,10.99
196,Disney+,8/2023,10.99
197,Disney+,9/2023,10.99
198,Disney+,10/2023,13.99
199,Disney+,11/2023,13.99
200,Disney+,12/2023,13.99
201,Disney+,1/2024,13.99
202,HBO Max,5/2020,14.99
203,HBO Max,6/2020,14.99
204,HBO Max,7/2020,14.99
205,HBO Max,8/2020,14.99
206,HBO Max,9/2020,14.99
207,HBO Max,10/2020,14.99
208,HBO Max,11/2020,14.99
209,HBO Max,12/2020,14.99
210,HBO Max,1/2021,14.99
211,HBO Max,2/2021,14.99
212,HBO Max,3/2021,14.99
213,HBO Max,4/2021,14.99
214,HBO Max,5/2021,14.99
215,HBO Max,6/2021,14.99
216,HBO Max,7/2021,14.99
217,HBO Max,8/2021,14.99
218,HBO Max,9/2021,14.99
219,HBO Max,10/2021,14.99
220,HBO Max,11/2021,14.99
221,HBO Max,12/2021,14.99
222,HBO Max,1/2022,14.99
223,HBO Max,2/2022,14.99
224,HBO Max,3/2022,14.99
225,HBO Max,4/2022,14.99
226,HBO Max,5/2022,14.99
227,HBO Max,6/2022,14.99
228,HBO Max,7/2022,14.99
229,HBO Max,8/2022,14.99
230,HBO Max,9/2022,14.99
231,HBO Max,10/2022,14.99
232,HBO Max,11/2022,14.99
233,HBO Max,12/2022,14.99
234,HBO Max,1/2023,14.99
235,HBO Max,2/2023,15.99
236,HBO Max,3/2023,15.99
237,HBO Max,4/2023,15.99
238,HBO Max,5/2023,15.99
239,HBO Max,6/2023,15.99
240,HBO Max,7/2023,15.99
241,HBO Max,8/2023,15.99
242,HBO Max,9/2023,15.99
243,HBO Max,10/2023,15.99
244,HBO Max,11/2023,15.99
245,HBO Max,12/2023,15.99
246,HBO Max,1/2024,15.99
247,Hulu,10/2015,11.99
248,Hulu,11/2015,11.99
249,Hulu,12/2015,11.99
250,Hulu,1/2016,11.99
251,Hulu,2/2016,11.99
252,Hulu,3/2016,11.99
253,Hulu,4/2016,11.99
254,Hulu,5/2016,11.99
255,Hulu,6/2016,11.99
256,Hulu,7/2016,11.99
257,Hulu,8/2016,11.99
258,Hulu,9/2016,11.99
259,Hulu,10/2016,11.99
260,Hulu,11/2016,11.99
261,Hulu,12/2016,11.99
262,Hulu,1/2017,11.99
263,Hulu,2/2017,11.99
264,Hulu,3/2017,11.99
265,Hulu,4/2017,11.99
266,Hulu,5/2017,11.99
267,Hulu,6/2017,11.99
268,Hulu,7/2017,11.99
269,Hulu,8/2017,11.99
270,Hulu,9/2017,11.99
271,Hulu,10/2017,11.99
272,Hulu,11/2017,11.99
273,Hulu,12/2017,11.99
274,Hulu,1/2018,11.99
275,Hulu,2/2018,11.99
276,Hulu,3/2018,11.99
277,Hulu,4/2018,11.99
278,Hulu,5/2018,11.99
279,Hulu,6/2018,11.99
280,Hulu,7/2018,11.99
281,Hulu,8/2018,11.99
282,Hulu,9/2018,11.99
283,Hulu,10/2018,11.99
284,Hulu,11/2018,11.99
285,Hulu,12/2018,11.99
286,Hulu,1/2019,11.99
287,Hulu,2/2019,11.99
288,Hulu,3/2019,11.99
289,Hulu,4/2019,11.99
290,Hulu,5/2019,11.99
291,Hulu,6/2019,11.99
292,Hulu,7/2019,11.99
293,Hulu,8/2019,11.99
294,Hulu,9/2019,11.99
295,Hulu,10/2019,11.99
296,Hulu,11/2019,11.99
297,Hulu,12/2019,11.99
298,Hulu,1/2020,11.99
299,Hulu,2/2020,11.99
300,Hulu,3/2020,11.99
301,Hulu,4/2020,11.99
302,Hulu,5/2020,11.99
303,Hulu,6/2020,11.99
304,Hulu,7/2020,11.99
305,Hulu,8/2020,11.99
306,Hulu,9/2020,11.99
307,Hulu,10/2020,11.99
308,Hulu,11/2020,11.99
309,Hulu,12/2020,11.99
310,Hulu,1/2021,11.99
311,Hulu,2/2021,11.99
312,Hulu,3/2021,11.99
313,Hulu,4/2021,11.99
314,Hulu,5/2021,11.99
315,Hulu,6/2021,11.99
316,Hulu,7/2021,11.99
317,Hulu,8/2021,11.99
318,Hulu,9/2021,11.99
319,Hulu,10/2021,12.99
320,Hulu,11/2021,12.99
321,Hulu,12/2021,12.99
322,Hulu,1/2022,12.99
323,Hulu,2/2022,12.99
324,Hulu,3/2022,12.99
325,Hulu,4/2022,12.99
326,Hulu,5/2022,12.99
327,Hulu,6/2022,12.99
328,Hulu,7/2022,12.99
329,Hulu,8/2022,12.99
330,Hulu,9/2022,12.99
331,Hulu,10/2022,12.99
332,Hulu,11/2022,12.99
333,Hulu,12/2022,14.99
334,Hulu,1/2023,14.99
335,Hulu,2/2023,14.99
336,Hulu,3/2023,14.99
337,Hulu,4/2023,14.99
338,Hulu,5/2023,14.99
339,Hulu,6/2023,14.99
340,Hulu,7/2023,14.99
341,Hulu,8/2023,14.99
342,Hulu,9/2023,14.99
343,Hulu,10/2023,14.99
344,Hulu,11/2023,14.99
345,Hulu,12/2023,14.99
346,Hulu,1/2024,17.99
347,Paramount+,10/2014,9.99
348,Paramount+,11/2014,9.99
349,Paramount+,12/2014,9.99
350,Paramount+,1/2015,9.99
351,Paramount+,2/2015,9.99
352,Paramount+,3/2015,9.99
353,Paramount+,4/2015,9.99
354,Paramount+,5/2015,9.99
355,Paramount+,6/2015,9.99
356,Paramount+,7/2015,9.99
357,Paramount+,8/2015,9.99
358,Paramount+,9/2015,9.99
359,Paramount+,10/2015,9.99
360,Paramount+,11/2015,9.99
361,Paramount+,12/2015,9.99
362,Paramount+,1/2016,9.99
363,Paramount+,2/2016,9.99
364,Paramount+,3/2016,9.99
365,Paramount+,4/2016,9.99
366,Paramount+,5/2016,9.99
367,Paramount+,6/2016,9.99
368,Paramount+,7/2016,9.99
369,Paramount+,8/2016,9.99
370,Paramount+,9/2016,9.99
371,Paramount+,10/2016,9.99
372,Paramount+,11/2016,9.99
373,Paramount+,12/2016,9.99
374,Paramount+,1/2017,9.99
375,Paramount+,2/2017,9.99
376,Paramount+,3/2017,9.99
377,Paramount+,4/2017,9.99
378,Paramount+,5/2017,9.99
379,Paramount+,6/2017,9.99
380,Paramount+,7/2017,9.99
381,Paramount+,8/2017,9.99
382,Paramount+,9/2017,9.99
383,Paramount+,10/2017,9.99
384,Paramount+,11/2017,9.99
385,Paramount+,12/2017,9.99
386,Paramount+,1/2018,9.99
387,Paramount+,2/2018,9.99
388,Paramount+,3/2018,9.99
389,Paramount+,4/2018,9.99
390,Paramount+,5/2018,9.99
391,Paramount+,6/2018,9.99
392,Paramount+,7/2018,9.99
393,Paramount+,8/2018,9.99
394,Paramount+,9/2018,9.99
395,Paramount+,10/2018,9.99
396,Paramount+,11/2018,9.99
397,Paramount+,12/2018,9.99
398,Paramount+,1/2019,9.99
399,Paramount+,2/2019,9.99
400,Paramount+,3/2019,9.99
401,Paramount+,4/2019,9.99
402,Paramount+,5/2019,9.99
403,Paramount+,6/2019,9.99
404,Paramount+,7/2019,9.99
405,Paramount+,8/2019,9.99
406,Paramount+,9/2019,9.99
407,Paramount+,10/2019,9.99
408,Paramount+,11/2019,9.99
409,Paramount+,12/2019,9.99
410,Paramount+,1/2020,9.99
411,Paramount+,2/2020,9.99
412,Paramount+,3/2020,9.99
413,Paramount+,4/2020,9.99
414,Paramount+,5/2020,9.99
415,Paramount+,6/2020,9.99
416,Paramount+,7/2020,9.99
417,Paramount+,8/2020,9.99
418,Paramount+,9/2020,9.99
419,Paramount+,10/2020,9.99
420,Paramount+,11/2020,9.99
421,Paramount+,12/2020,9.99
422,Paramount+,1/2021,9.99
423,Paramount+,2/2021,9.99
424,Paramount+,3/2021,9.99
425,Paramount+,4/2021,9.99
426,Paramount+,5/2021,9.99
427,Paramount+,6/2021,9.99
428,Paramount+,7/2021,9.99
429,Paramount+,8/2021,9.99
430,Paramount+,9/2021,9.99
431,Paramount+,10/2021,9.99
432,Paramount+,11/2021,9.99
433,Paramount+,12/2021,9.99
434,Paramount+,1/2022,9.99
435,Paramount+,2/2022,9.99
436,Paramount+,3/2022,9.99
437,Paramount+,4/2022,9.99
438,Paramount+,5/2022,9.99
439,Paramount+,6/2022,9.99
440,Paramount+,7/2022,9.99
441,Paramount+,8/2022,9.99
442,Paramount+,9/2022,9.99
443,Paramount+,10/2022,9.99
444,Paramount+,11/2022,9.99
445,Paramount+,12/2022,9.99
446,Paramount+,1/2023,9.99
447,Paramount+,2/2023,9.99
448,Paramount+,3/2023,9.99
449,Paramount+,4/2023,9.99
450,Paramount+,5/2023,9.99
451,Paramount+,6/2023,11.99
452,Paramount+,7/2023,11.99
453,Paramount+,8/2023,11.99
454,Paramount+,9/2023,11.99
455,Paramount+,10/2023,11.99
456,Paramount+,11/2023,11.99
457,Paramount+,12/2023,11.99
458,Paramount+,1/2024,11.99
459,Prime Video,4/2016,8.99
460,Prime Video,5/2016,8.99
461,Prime Video,6/2016,8.99
462,Prime Video,7/2016,8.99
463,Prime Video,8/2016,8.99
464,Prime Video,9/2016,8.99
465,Prime Video,10/2016,8.99
466,Prime Video,11/2016,8.99
467,Prime Video,12/2016,8.99
468,Prime Video,1/2017,8.99
469,Prime Video,2/2017,8.99
470,Prime Video,3/2017,8.99
471,Prime Video,4/2017,8.99
472,Prime Video,5/2017,8.99
473,Prime Video,6/2017,8.99
474,Prime Video,7/2017,8.99
475,Prime Video,8/2017,8.99
476,Prime Video,9/2017,8.99
477,Prime Video,10/2017,8.99
478,Prime Video,11/2017,8.99
479,Prime Video,12/2017,8.99
480,Prime Video,1/2018,8.99
481,Prime Video,2/2018,8.99
482,Prime Video,3/2018,8.99
483,Prime Video,4/2018,8.99
484,Prime Video,5/2018,8.99
485,Prime Video,6/2018,8.99
486,Prime Video,7/2018,8.99
487,Prime Video,8/2018,8.99
488,Prime Video,9/2018,8.99
489,Prime Video,10/2018,8.99
490,Prime Video,11/2018,8.99
491,Prime Video,12/2018,8.99
492,Prime Video,1/2019,8.99
493,Prime Video,2/2019,8.99
494,Prime Video,3/2019,8.99
495,Prime Video,4/2019,8.99
496,Prime Video,5/2019,8.99
497,Prime Video,6/2019,8.99
498,Prime Video,7/2019,8.99
499,Prime Video,8/2019,8.99
500,Prime Video,9/2019,8.99
501,Prime Video,10/2019,8.99
502,Prime Video,11/2019,8.99
503,Prime Video,12/2019,8.99
504,Prime Video,1/2020,8.99
505,Prime Video,2/2020,8.99
506,Prime Video,3/2020,8.99
507,Prime Video,4/2020,8.99
508,Prime Video,5/2020,8.99
509,Prime Video,6/2020,8.99
510,Prime Video,7/2020,8.99
511,Prime Video,8/2020,8.99
512,Prime Video,9/2020,8.99
513,Prime Video,10/2020,8.99
514,Prime Video,11/2020,8.99
515,Prime Video,12/2020,8.99
516,Prime Video,1/2021,8.99
517,Prime Video,2/2021,8.99
518,Prime Video,3/2021,8.99
519,Prime Video,4/2021,8.99
520,Prime Video,5/2021,8.99
521,Prime Video,6/2021,8.99
522,Prime Video,7/2021,8.99
523,Prime Video,8/2021,8.99
524,Prime Video,9/2021,8.99
525,Prime Video,10/2021,8.99
526,Prime Video,11/2021,8.99
527,Prime Video,12/2021,8.99
528,Prime Video,1/2022,8.99
529,Prime Video,2/2022,8.99
530,Prime Video,3/2022,8.99
531,Prime Video,4/2022,8.99
532,Prime Video,5/2022,8.99
533,Prime Video,6/2022,8.99
534,Prime Video,7/2022,8.99
535,Prime Video,8/2022,8.99
536,Prime Video,9/2022,8.99
537,Prime Video,10/2022,8.99
538,Prime Video,11/2022,8.99
539,Prime Video,12/2022,8.99
540,Prime Video,1/2023,8.99
541,Prime Video,2/2023,8.99
542,Prime Video,3/2023,8.99
543,Prime Video,4/2023,8.99
544,Prime Video,5/2023,8.99
545,Prime Video,6/2023,8.99
546,Prime Video,7/2023,8.99
547,Prime Video,8/2023,8.99
548,Prime Video,9/2023,8.99
549,Prime Video,10/2023,8.99
550,Prime Video,11/2023,8.99
551,Prime Video,12/2023,8.99
552,Prime Video,1/2024,11.99
553,Apple TV+,11/2019,4.99
554,Apple TV+,12/2019,4.99
555,Apple TV+,1/2020,4.99
556,Apple TV+,2/2020,4.99
557,Apple TV+,3/2020,4.99
558,Apple TV+,4/2020,4.99
559,Apple TV+,5/2020,4.99
560,Apple TV+,6/2020,4.99
561,Apple TV+,7/2020,4.99
562,Apple TV+,8/2020,4.99
563,Apple TV+,9/2020,4.99
564,Apple TV+,10/2020,4.99
565,Apple TV+,11/2020,4.99
566,Apple TV+,12/2020,4.99
567,Apple TV+,1/2021,4.99
568,Apple TV+,2/2021,4.99
569,Apple TV+,3/2021,4.99
570,Apple TV+,4/2021,4.99
571,Apple TV+,5/2021,4.99
572,Apple TV+,6/2021,4.99
573,Apple TV+,7/2021,4.99
574,Apple TV+,8/2021,4.99
575,Apple TV+,9/2021,4.99
576,Apple TV+,10/2021,4.99
577,Apple TV+,11/2021,4.99
578,Apple TV+,12/2021,4.99
579,Apple TV+,1/2022,4.99
580,Apple TV+,2/2022,4.99
581,Apple TV+,3/2022,4.99
582,Apple TV+,4/2022,4.99
583,Apple TV+,5/2022,4.99
584,Apple TV+,6/2022,4.99
585,Apple TV+,7/2022,4.99
586,Apple TV+,8/2022,4.99
587,Apple TV+,9/2022,4.99
588,Apple TV+,10/2022,6.99
589,Apple TV+,11/2022,6.99
590,Apple TV+,12/2022,6.99
591,Apple TV+,1/2023,6.99
592,Apple TV+,2/2023,6.99
593,Apple TV+,3/2023,6.99
594,Apple TV+,4/2023,6.99
595,Apple TV+,5/2023,6.99
596,Apple TV+,6/2023,6.99
597,Apple TV+,7/2023,6.99
598,Apple TV+,8/2023,6.99
599,Apple TV+,9/2023,6.99
600,Apple TV+,10/2023,6.99
601,Apple TV+,11/2023,6.99
602,Apple TV+,12/2023,6.99
603,Apple TV+,1/2024,9.99
604,Peacock,7/2020,9.99
605,Peacock,8/2020,9.99
606,Peacock,9/2020,9.99
607,Peacock,10/2020,9.99
608,Peacock,11/2020,9.99
609,Peacock,12/2020,9.99
610,Peacock,1/2021,9.99
611,Peacock,2/2021,9.99
612,Peacock,3/2021,9.99
613,Peacock,4/2021,9.99
614,Peacock,5/2021,9.99
615,Peacock,6/2021,9.99
616,Peacock,7/2021,9.99
617,Peacock,8/2021,9.99
618,Peacock,9/2021,9.99
619,Peacock,10/2021,9.99
620,Peacock,11/2021,9.99
621,Peacock,12/2021,9.99
622,Peacock,1/2022,9.99
623,Peacock,2/2022,9.99
624,Peacock,3/2022,9.99
625,Peacock,4/2022,9.99
626,Peacock,5/2022,9.99
627,Peacock,6/2022,9.99
628,Peacock,7/2022,9.99
629,Peacock,8/2022,9.99
630,Peacock,9/2022,9.99
631,Peacock,10/2022,9.99
632,Peacock,11/2022,9.99
633,Peacock,12/2022,9.99
634,Peacock,1/2023,9.99
635,Peacock,2/2023,9.99
636,Peacock,3/2023,9.99
637,Peacock,4/2023,9.99
638,Peacock,5/2023,9.99
639,Peacock,6/2023,9.99
640,Peacock,7/2023,9.99
641,Peacock,8/2023,11.99
642,Peacock,9/2023,11.99
643,Peacock,10/2023,11.99
644,Peacock,11/2023,11.99
645,Peacock,12/2023,11.99
646,Peacock,1/2024,11.99
647,Shudder,10/2016,5.99
648,Shudder,11/2016,5.99
649,Shudder,12/2016,5.99
650,Shudder,1/2017,5.99
651,Shudder,2/2017,5.99
652,Shudder,3/2017,5.99
653,Shudder,4/2017,5.99
654,Shudder,5/2017,5.99
655,Shudder,6/2017,5.99
656,Shudder,7/2017,5.99
657,Shudder,8/2017,5.99
658,Shudder,9/2017,5.99
659,Shudder,10/2017,5.99
660,Shudder,11/2017,5.99
661,Shudder,12/2017,5.99
662,Shudder,1/2018,5.99
663,Shudder,2/2018,5.99
664,Shudder,3/2018,5.99
665,Shudder,4/2018,5.99
666,Shudder,5/2018,5.99
667,Shudder,6/2018,5.99
668,Shudder,7/2018,5.99
669,Shudder,8/2018,5.99
670,Shudder,9/2018,5.99
671,Shudder,10/2018,5.99
672,Shudder,11/2018,5.99
673,Shudder,12/2018,5.99
674,Shudder,1/2019,5.99
675,Shudder,2/2019,5.99
676,Shudder,3/2019,5.99
677,Shudder,4/2019,5.99
678,Shudder,5/2019,5.99
679,Shudder,6/2019,5.99
680,Shudder,7/2019,5.99
681,Shudder,8/2019,5.99
682,Shudder,9/2019,5.99
683,Shudder,10/2019,5.99
684,Shudder,11/2019,5.99
685,Shudder,12/2019,5.99
686,Shudder,1/2020,5.99
687,Shudder,2/2020,5.99
688,Shudder,3/2020,5.99
689,Shudder,4/2020,5.99
690,Shudder,5/2020,5.99
691,Shudder,6/2020,5.99
692,Shudder,7/2020,5.99
693,Shudder,8/2020,5.99
694,Shudder,9/2020,5.99
695,Shudder,10/2020,5.99
696,Shudder,11/2020,5.99
697,Shudder,12/2020,5.99
698,Shudder,1/2021,5.99
699,Shudder,2/2021,5.99
700,Shudder,3/2021,5.99
701,Shudder,4/2021,5.99
702,Shudder,5/2021,5.99
703,Shudder,6/2021,5.99
704,Shudder,7/2021,5.99
705,Shudder,8/2021,5.99
706,Shudder,9/2021,5.99
707,Shudder,10/2021,5.99
708,Shudder,11/2021,5.99
709,Shudder,12/2021,5.99
710,Shudder,1/2022,5.99
711,Shudder,2/2022,5.99
712,Shudder,3/2022,5.99
713,Shudder,4/2022,5.99
714,Shudder,5/2022,5.99
715,Shudder,6/2022,5.99
716,Shudder,7/2022,5.99
717,Shudder,8/2022,5.99
718,Shudder,9/2022,5.99
719,Shudder,10/2022,5.99
720,Shudder,11/2022,5.99
721,Shudder,12/2022,5.99
722,Shudder,1/2023,5.99
723,Shudder,2/2023,5.99
724,Shudder,3/2023,5.99
725,Shudder,4/2023,5.99
726,Shudder,5/2023,5.99
727,Shudder,6/2023,5.99
728,Shudder,7/2023,5.99
729,Shudder,8/2023,6.99
730,Shudder,9/2023,6.99
731,Shudder,10/2023,6.99
732,Shudder,11/2023,6.99
733,Shudder,12/2023,6.99
734,Shudder,1/2024,6.99
735,Crunchyroll,8/2020,7.99
736,Crunchyroll,9/2020,7.99
737,Crunchyroll,10/2020,7.99
738,Crunchyroll,11/2020,7.99
739,Crunchyroll,12/2020,7.99
740,Crunchyroll,1/2021,7.99
741,Crunchyroll,2/2021,7.99
742,Crunchyroll,3/2021,7.99
743,Crunchyroll,4/2021,7.99
744,Crunchyroll,5/2021,7.99
745,Crunchyroll,6/2021,7.99
746,Crunchyroll,7/2021,7.99
747,Crunchyroll,8/2021,7.99
748,Crunchyroll,9/2021,7.99
749,Crunchyroll,10/2021,7.99
750,Crunchyroll,11/2021,7.99
751,Crunchyroll,12/2021,7.99
752,Crunchyroll,1/2022,7.99
753,Crunchyroll,2/2022,7.99
754,Crunchyroll,3/2022,7.99
755,Crunchyroll,4/2022,7.99
756,Crunchyroll,5/2022,7.99
757,Crunchyroll,6/2022,7.99
758,Crunchyroll,7/2022,7.99
759,Crunchyroll,8/2022,7.99
760,Crunchyroll,9/2022,7.99
761,Crunchyroll,10/2022,7.99
762,Crunchyroll,11/2022,7.99
763,Crunchyroll,12/2022,7.99
764,Crunchyroll,1/2023,7.99
765,Crunchyroll,2/2023,7.99
766,Crunchyroll,3/2023,7.99
767,Crunchyroll,4/2023,7.99
768,Crunchyroll,5/2023,7.99
769,Crunchyroll,6/2023,7.99
770,Crunchyroll,7/2023,7.99
771,Crunchyroll,8/2023,7.99
772,Crunchyroll,9/2023,7.99
773,Crunchyroll,10/2023,7.99
774,Crunchyroll,11/2023,7.99
775,Crunchyroll,12/2023,7.99
776,Crunchyroll,1/2024,7.99
