,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+
152,Ittefaq,2017,7+,80,1,0,0,0
153,Hannah Gadsby: Nanette,2018,18+,80,1,0,0,0
154,Ali Wong: Hard Knock Wife,2018,18+,80,1,0,0,0
155,Seven Pounds,2008,13+,80,1,0,1,0
156,Uncut Gems,2019,18+,80,1,0,0,0
157,The Kindergarten Teacher,2018,18+,80,1,0,0,0
158,Les Misérables,2012,13+,80,1,0,1,0
159,The Sky Is Pink,2019,,80,1,0,0,0
160,Next Gen,2018,7+,80,1,0,0,0
161,Tom Segura: Disgraceful,2018,13+,80,1,0,0,0
162,My Happy Family,2017,,80,1,0,0,0
163,The American Meme,2018,,80,1,0,0,0
164,Badla,2019,7+,80,1,0,0,0
165,Okko's Inn,2018,7+,80,1,0,0,0
166,The Willoughbys,2020,7+,80,1,0,0,0
167,Hunt for the Wilderpeople,2016,13+,80,1,1,0,0
168,Stardust,2007,13+,79,1,0,0,0
169,Wheelman,2017,18+,79,1,0,0,0
170,The Artist,2011,13+,79,1,1,0,0
171,On My Skin,2018,18+,79,1,0,0,0
172,Gaga: Five Foot Two,2017,18+,79,1,0,0,0
173,Hugo,2011,7+,79,1,0,0,0
174,The Impossible,2012,13+,79,1,0,0,0
175,War Dogs,2016,18+,79,1,0,0,0
176,Ip Man,2008,18+,79,1,0,0,0
177,The Speed Cubers,2020,,79,1,0,0,0
178,Kung Fu Panda 2,2011,7+,79,1,0,0,0
179,The Dirt,2019,18+,79,1,0,0,0
180,Andhadhun,2018,,79,1,0,0,0
181,Atlantics,2019,13+,79,1,0,0,0
182,37 Seconds,2019,,79,1,0,0,0
183,El Camino: A Breaking Bad Movie,2019,18+,79,1,0,0,0
184,Underworld,2003,18+,79,1,1,1,0
185,The Ring,2002,13+,79,1,0,1,0
186,Hold the Dark,2018,,79,1,0,0,0
187,The Karate Kid,1984,7+,79,1,0,0,0
188,Quincy,2018,18+,79,1,0,0,0
189,The Patriot,2000,18+,79,1,0,0,0
190,Get In,2019,18+,79,1,0,0,0
191,ZZ Top: That Little Ol' Band From Texas,2019,,79,1,0,0,0
192,Jerry Before Seinfeld,2017,16+,79,1,0,0,0
193,Mike Birbiglia: The New One,2019,,78,1,0,0,0
194,A Silent Voice: The Movie,2016,13+,78,1,0,0,0
195,Klaus,2019,7+,78,1,0,0,0
196,Snowden,2016,18+,78,1,0,0,0
197,"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78,1,0,0,0
198,What's Eating Gilbert Grape,1993,13+,78,1,0,0,0
199,The Da Vinci Code,2006,13+,78,1,1,0,0
200,Stranger Than Fiction,2006,13+,78,1,0,0,0
201,Don 2,2011,,78,1,0,0,0
202,Elena,2013,,78,1,0,0,0
203,Real Steel,2011,13+,78,1,0,0,0
204,The Founder,2017,13+,78,1,0,0,0
205,Stargate,1994,13+,78,1,0,0,0
206,Shirkers,2018,,78,1,0,0,0
207,Chef,2014,18+,78,1,0,0,0
208,Fire in the Blood,2013,,78,1,0,0,0
209,Austin Powers: International Man of Mystery,1997,13+,78,1,0,0,0
210,Miles Davis: Birth of the Cool,2019,,78,1,0,0,0
211,Insidious,2010,13+,78,1,0,0,0
212,Screwball,2019,,78,1,0,0,0
213,The Old Guard,2020,18+,78,1,0,0,0
214,Rango,2011,7+,78,1,0,0,0
215,Before I Wake,2016,13+,78,1,0,0,0
216,The Disaster Artist,2017,18+,78,1,0,0,0
217,Fruitvale Station,2013,18+,77,1,0,0,0
218,The Florida Project,2017,18+,77,1,0,0,0
219,Behind the Curve,2018,16+,77,1,0,0,0
220,Lawless,2012,18+,77,1,0,0,0
221,Errementari: The Blacksmith and the Devil,2018,18+,77,1,0,0,0
222,Audrie & Daisy,2016,,77,1,0,0,0
223,Quantum of Solace,2008,13+,77,1,0,0,0
224,The Master,2012,18+,77,1,0,0,0
225,Layer Cake,2004,18+,77,1,0,0,0
226,Flipped,2010,7+,77,1,0,0,0
227,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77,1,0,0,0
228,Friends with Benefits,2011,18+,77,1,1,0,0
229,Tig,2015,,77,1,0,0,0
230,Roll Red Roll,2019,,77,1,0,0,0
231,Enola Holmes,2020,13+,77,1,0,0,0
232,PK,2015,13+,77,1,0,0,0
233,Good Time,2017,18+,77,1,0,0,0
234,The Next Three Days,2010,13+,77,1,0,0,0
235,Miracle in Cell No. 7,2019,16+,77,1,0,0,0
236,Like Stars on Earth,2007,7+,77,1,0,0,0
237,Trixie Mattel: Moving Parts,2019,,77,1,0,0,0
238,Talaash,2012,,77,1,0,0,0
239,Evelyn,2019,,77,1,0,0,0
240,I Am Sam,2001,13+,77,1,0,0,0
241,In the Shadow of the Moon,2019,18+,77,1,0,0,0
242,Neon Genesis Evangelion: The End of Evangelion,1997,18+,77,1,0,0,0
243,Memoirs of a Geisha,2005,13+,76,1,0,0,0
244,Mad Max,1979,18+,76,1,0,0,0
245,John Leguizamo's Latin History for Morons,2018,7+,76,1,0,0,0
246,And Breathe Normally,2018,16+,76,1,0,0,0
247,The Killing of a Sacred Deer,2017,18+,76,1,0,0,0
248,Angels & Demons,2009,13+,76,1,1,0,0
249,Smoke & Mirrors,2016,,76,1,0,0,0
250,Bright,2017,18+,76,1,0,0,0
251,Yes Man,2008,13+,76,1,0,0,0
252,Murder Mystery,2019,13+,76,1,0,0,0
253,Pink,2016,,76,1,0,0,0
254,The Photographer of Mauthausen,2018,18+,76,1,0,0,0
255,Midnight Run,1988,18+,76,1,0,0,0
256,Flavors of Youth,2018,13+,76,1,0,0,0
257,13th,2016,18+,76,1,0,0,0
258,Ravenous,2017,18+,76,1,0,0,0
259,Austin Powers: The Spy Who Shagged Me,1999,13+,76,1,0,0,0
260,The Life of David Gale,2003,18+,76,1,0,0,0
261,Tramps,2016,,76,1,0,0,0
262,The Girl Next Door,2004,18+,76,1,0,0,0
263,The Two Popes,2019,13+,76,1,0,0,0
264,The Wandering Earth,2019,13+,76,1,0,0,0
265,Just Another Love Story,2007,,76,1,0,0,0
266,Eye for an Eye,2019,18+,76,1,0,0,0
267,Patton Oswalt: Annihilation,2017,,76,1,0,0,0
268,Joan Didion: The Center Will Not Hold,2017,,76,1,0,0,0
269,Steve Jobs,2015,18+,76,1,0,0,0
270,White Fang,2018,7+,76,1,0,0,1
271,A Monster Calls,2016,13+,76,1,0,0,0
272,Olympus Has Fallen,2013,18+,76,1,0,0,0
273,Talladega Nights: The Ballad of Ricky Bobby,2006,13+,76,1,0,0,0
274,The Time Traveler's Wife,2009,13+,76,1,0,0,0
275,State of Play,2009,13+,76,1,0,0,0
276,The Outlaw Josey Wales,1976,7+,76,1,0,0,0
277,The Bank Job,2008,18+,76,1,0,0,0
278,Miss Sloane,2016,18+,76,1,0,0,0
279,Unknown,2011,13+,75,1,0,0,0
280,6 Underground,2019,18+,75,1,0,0,0
281,Uncorked,2020,13+,75,1,0,0,0
282,Petta,2019,,75,1,0,0,0
283,Justin Timberlake + The Tennessee Kids,2016,,75,1,0,0,0
284,My Fair Lady,1964,all,75,1,0,0,0
285,"Bikram: Yogi, Guru, Predator",2019,18+,75,1,0,0,0
286,A Futile and Stupid Gesture,2018,18+,75,1,0,0,0
287,The Dig,2021,13+,75,1,0,0,0
288,Legally Blonde,2001,13+,75,1,0,0,0
289,Legend,2015,18+,75,1,0,0,0
290,Notes on Blindness,2016,,75,1,0,0,0
291,When We First Met,2018,16+,75,1,0,0,0
292,Best Worst Thing That Ever Could Have Happened...,2016,,75,1,0,0,0
293,Imperial Dreams,2014,,75,1,0,0,0
294,Black Mirror: Bandersnatch,2018,18+,75,1,0,0,0
295,Queen,2013,13+,75,1,0,0,0
296,Joshua: Teenager vs. Superpower,2017,16+,75,1,0,0,0
297,Air Force One,1997,18+,75,1,0,0,0
298,Shot Caller,2017,18+,75,1,0,0,0
299,What Dreams May Come,1998,13+,75,1,0,0,0
300,Angel Has Fallen,2019,18+,75,1,0,0,0
301,Crimson Peak,2015,18+,75,1,0,0,0
302,Lemony Snicket's A Series of Unfortunate Events,2004,7+,75,1,0,0,0
303,The Red Sea Diving Resort,2019,18+,75,1,0,0,0
304,The Angel,2018,18+,75,1,0,0,0
305,Army of the Dead,2021,18+,75,1,0,0,0
306,Madagascar 3: Europe's Most Wanted,2012,7+,75,1,0,0,0
307,Icarus,2017,18+,75,1,0,0,0
308,Collateral Beauty,2016,13+,75,1,0,0,0
309,The Danish Girl,2015,18+,75,1,0,0,0
310,Green Zone,2010,18+,75,1,0,1,0
311,John Mulaney: New in Town,2012,18+,75,1,0,0,0
312,Strong Island,2017,,75,1,0,0,0
313,The White Tiger,2021,18+,75,1,0,0,0
314,Defiance,2008,18+,75,1,0,0,0
315,A Fortunate Man,2018,16+,75,1,0,0,0
316,The Death of Stalin,2017,18+,75,1,0,0,0
317,2012,2009,13+,75,1,1,0,0
318,Underworld: Awakening,2012,18+,74,1,1,0,0
319,Philomena,2013,13+,74,1,0,0,0
320,Sanju,2018,18+,74,1,0,0,0
321,Nappily Ever After,2018,18+,74,1,0,0,0
322,I Care a Lot,2021,18+,74,1,0,0,0
323,The Butler,2013,13+,74,1,0,0,0
324,Qarib Qarib Singlle,2017,,74,1,0,0,0
325,A Single Man,2009,18+,74,1,0,0,0
326,Home,2015,7+,74,1,0,1,0
327,Zack and Miri Make a Porno,2008,18+,74,1,1,1,0
328,Seeing Allred,2018,16+,74,1,0,0,0
329,Dostana,2008,13+,74,1,0,0,0
330,Remember Me,2010,13+,74,1,0,0,0
331,Underworld: Rise of the Lycans,2009,18+,74,1,0,0,0
332,The Lovely Bones,2009,13+,74,1,0,0,0
333,Madagascar: Escape 2 Africa,2008,7+,74,1,0,0,0
334,No Strings Attached,2011,18+,74,1,0,1,0
335,Heroin(e),2017,,74,1,0,0,0
336,A Ghost Story,2017,18+,74,1,0,0,0
337,Safety Not Guaranteed,2012,18+,74,1,0,0,0
338,Game Over,2019,13+,74,1,0,0,0
339,Peppermint,2018,18+,74,1,0,0,0
340,Have a Good Trip: Adventures in Psychedelics,2020,18+,74,1,0,0,0
341,Beasts of No Nation,2015,18+,74,1,0,0,0
342,Extinction,2018,18+,74,1,0,0,0
343,Nobody Knows I'm Here,2020,18+,74,1,0,0,0
344,ARQ,2016,18+,74,1,0,0,0
345,Ali's Wedding,2017,18+,74,1,0,0,0
346,Bo Burnham: Make Happy,2016,18+,74,1,0,0,0
347,Mank,2020,18+,74,1,0,0,0
348,"Extremely Wicked, Shockingly Evil and Vile",2019,18+,74,1,0,0,0
349,Due Date,2010,18+,74,1,0,0,0
350,Between Two Ferns: The Movie,2019,18+,74,1,0,0,0
351,Ip Man 2,2010,18+,74,1,0,0,0
352,Mirage,2018,18+,74,1,0,0,0
353,Puss in Boots,2011,7+,74,1,0,0,0
354,Austin Powers in Goldmember,2002,13+,74,1,0,0,0
355,The Kissing Booth,2018,16+,73,1,0,0,0
356,Hush,2016,18+,73,1,0,0,0
357,Lost Bullet,2020,18+,73,1,0,0,0
358,Dil Chahta Hai,2001,all,73,1,0,0,0
359,Election,1999,18+,73,1,0,1,0
360,Soni,2019,18+,73,1,0,0,0
361,Bāhubali: The Beginning,2015,13+,73,1,0,0,0
362,Killing Them Softly,2012,18+,73,1,0,0,0
363,Swordfish,2001,18+,73,1,0,0,0
364,Wish Dragon,2021,7+,73,1,0,0,0
365,Raees,2017,18+,73,1,0,0,0
366,Let It Snow,2019,13+,73,1,0,0,0
367,The Babysitter: Killer Queen,2020,,73,1,0,0,0
368,Hardcore Henry,2015,18+,73,1,0,0,0
369,Tig Notaro: Happy To Be Here,2018,16+,73,1,0,0,0
370,Spelling the Dream,2020,all,73,1,0,0,0
371,Knock Down the House,2019,7+,73,1,0,0,0
372,Resident Evil: Extinction,2007,18+,73,1,1,0,0
373,Polar,2019,18+,73,1,0,0,0
374,Saving Capitalism,2017,7+,73,1,0,0,0
375,The Untold Tales of Armistead Maupin,2017,,73,1,0,0,0
376,The Mitchells vs. The Machines,2021,7+,73,1,0,0,0
377,Spenser Confidential,2020,18+,73,1,0,0,0
378,Psychokinesis,2018,,73,1,0,0,0
379,Monsters vs Aliens,2009,7+,73,1,0,0,0
380,Twilight,2008,13+,73,1,0,1,0
381,Self/less,2015,13+,73,1,0,0,0
382,The Highwaymen,2019,18+,73,1,0,0,0
383,ParaNorman,2012,7+,73,1,0,0,0
384,Holidate,2020,,73,1,0,0,0
385,Fear Street Part Two: 1978,2021,18+,73,1,0,0,0
386,Pee-wee's Big Holiday,2016,7+,73,1,0,0,0
387,Gunpowder Milkshake,2021,18+,73,1,0,0,0
388,"Michael Bolton's Big, Sexy Valentine's Day Special",2017,18+,73,1,0,0,0
389,I Am Not Your Negro,2017,18+,73,1,1,0,0
390,Midnight Special,2016,13+,73,1,0,0,0
391,Layla M.,2016,,73,1,0,0,0
392,Homefront,2013,18+,73,1,0,0,0
393,The Squid and the Whale,2005,18+,73,1,0,0,0
394,Comedian,2002,18+,73,1,0,0,0
395,No Escape,2015,18+,73,1,0,0,0
396,Mercury 13,2018,,73,1,0,0,0
397,The Professor and the Madman,2019,,73,1,0,0,0
398,Asperger's Are Us,2016,,73,1,0,0,0
399,The Garden of Words,2013,13+,73,1,0,0,0
400,Fractured,2019,18+,73,1,0,1,0
401,The Queen,2006,13+,73,1,0,0,0
402,The Whole Nine Yards,2000,18+,72,1,0,0,0
403,E-Team,2014,,72,1,0,0,0
404,The Discovery,2017,18+,72,1,0,0,0
405,The Strangers,2008,18+,72,1,0,0,0
406,Penguins of Madagascar,2014,7+,72,1,0,0,0
407,She's Out of My League,2010,18+,72,1,0,1,0
408,Voyeur,2017,18+,72,1,0,0,0
409,It Comes at Night,2017,18+,72,1,0,0,0
410,The Manchurian Candidate,2004,18+,72,1,0,1,0
411,Bon Cop Bad Cop 2,2017,,72,1,0,0,0
412,Hot Rod,2007,13+,72,1,0,1,0
413,The BFG,2016,7+,72,1,0,0,0
414,Sunday's Illness,2018,13+,72,1,0,0,0
415,The Lorax,2012,7+,72,1,1,0,0
416,Win It All,2017,18+,72,1,0,0,0
417,Mile 22,2018,18+,72,1,0,0,0
418,Tenacious D in The Pick of Destiny,2006,18+,72,1,0,0,0
419,The Sum of All Fears,2002,13+,72,1,0,0,0
420,G.O.R.A.,2004,13+,72,1,0,0,0
421,The Perfect Date,2019,16+,72,1,0,0,0
422,Code 8,2019,,72,1,0,0,0
423,Cowspiracy: The Sustainability Secret,2014,,72,1,0,0,0
424,Life As We Know It,2010,13+,72,1,0,0,0
425,American Assassin,2017,18+,72,1,0,0,0
426,August: Osage County,2013,18+,72,1,0,0,0
427,Kuch Kuch Hota Hai,1998,all,72,1,0,0,0
428,Who Am I,2014,,72,1,0,0,0
429,Free State of Jones,2016,18+,72,1,0,0,0
430,Beast Stalker,2008,,72,1,0,0,0
431,Dark Skies,2013,16+,72,1,0,0,0
432,Safe Haven,2013,13+,72,1,0,0,0
433,Bāhubali 2: The Conclusion,2017,7+,72,1,0,0,0
434,Outlaw King,2018,18+,72,1,0,0,0
435,Cloudy with a Chance of Meatballs 2,2013,7+,72,1,0,0,0
436,Turbo,2013,7+,72,1,0,0,0
437,G.I. Joe: The Rise of Cobra,2009,13+,72,1,0,0,0
438,Horns,2013,18+,72,1,0,0,0
439,Drishyam,2015,18+,72,1,0,0,0
440,Triple Frontier,2019,18+,72,1,0,0,0
441,"Hail, Caesar!",2016,13+,72,1,0,0,0
442,The Ice Road,2021,13+,72,1,0,0,0
443,Monster House,2006,7+,72,1,0,0,0
444,Freaks,2019,18+,72,1,0,0,0
445,Felon,2008,18+,72,1,0,0,0
446,Horse Girl,2020,18+,72,1,0,0,0
447,A Christmas Prince,2017,7+,72,1,0,1,0
448,Hillbilly Elegy,2020,18+,72,1,0,0,0
449,American Ultra,2015,18+,72,1,0,0,0
450,First Match,2018,18+,72,1,0,0,0
451,The Pelican Brief,1993,13+,72,1,0,0,0
452,The Tourist,2010,13+,72,1,0,0,0
453,The Dawn Wall,2017,16+,72,1,0,0,0
454,I'm Thinking of Ending Things,2020,18+,71,1,0,0,0
455,Shutter,2004,18+,71,1,0,0,0
456,Surf's Up,2007,7+,71,1,0,1,0
457,The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71,1,0,0,0
458,Jagga Jasoos,2017,7+,71,1,0,0,0
459,The Burial of Kojo,2018,,71,1,0,0,0
460,My Best Friend's Wedding,1997,13+,71,1,0,0,0
461,Bee Movie,2007,7+,71,1,0,0,0
462,Seoul Searching,2015,18+,71,1,0,0,0
463,Before I Fall,2017,13+,71,1,0,0,0
464,The Babysitter,2017,18+,71,1,0,0,0
465,After,2019,13+,71,1,0,0,0
466,"As Above, So Below",2014,18+,71,1,0,0,0
467,Bo Burnham: What.,2013,18+,71,1,0,0,0
468,Stree,2018,,71,1,0,1,0
469,Velvet Buzzsaw,2019,18+,71,1,0,0,0
470,Savages,2012,18+,71,1,0,0,0
471,Jupiter Ascending,2015,13+,71,1,0,0,0
472,Spectral,2016,13+,71,1,0,0,0
473,Resident Evil: Afterlife,2010,18+,71,1,1,0,0
474,Accepted,2006,13+,71,1,0,0,0
475,"Live Twice, Love Once",2019,18+,71,1,0,0,0
476,Iliza Shlesinger: Elder Millennial,2018,18+,71,1,0,0,0
477,Zindagi Na Milegi Dobara,2011,7+,71,1,0,0,0
478,Free Fire,2017,18+,71,1,0,0,0
479,Soorma,2018,13+,71,1,0,0,0
480,The Zookeeper's Wife,2017,13+,71,1,0,0,0
481,Time Share,2018,18+,71,1,0,0,0
482,The Outpost,2019,18+,71,1,0,0,0
483,Kabir Singh,2019,,71,1,0,0,0
484,Homecoming: A Film by Beyoncé,2019,13+,71,1,0,0,0
485,Jerry Seinfeld: 23 Hours to Kill,2020,7+,71,1,0,0,0
486,Ip Man 4: The Finale,2019,16+,71,1,0,0,0
487,The Laundromat,2019,18+,71,1,0,0,0
488,The 12th Man,2017,,71,1,1,0,0
489,Bad Trip,2020,18+,71,1,0,0,0
490,Mr. Peabody & Sherman,2014,7+,71,1,0,0,0
491,Ip Man 3,2015,13+,71,1,0,0,0
492,Rang De Basanti,2006,13+,71,1,0,0,0
493,The Midnight Sky,2020,13+,71,1,0,0,0
494,Mr. Right,2016,18+,71,1,0,0,0
495,White Christmas,1954,,71,1,0,0,0
496,Synchronic,2020,18+,71,1,0,0,0
497,Adrift,2018,13+,70,1,0,0,0
498,The Game Changers,2019,,70,1,0,0,0
499,Michelle Wolf: Joke Show,2019,,70,1,0,0,0
500,Da 5 Bloods,2020,18+,70,1,0,0,0
501,The American,2010,18+,70,1,0,1,0
502,The Best of Enemies,2019,13+,70,1,0,0,0
503,Forgotten,2017,18+,70,1,0,1,0
504,I Don't Feel at Home in This World Anymore,2017,18+,70,1,0,0,0
505,Lupin the Third: The Castle of Cagliostro,1979,7+,70,1,0,0,0
506,Never Back Down,2008,13+,70,1,0,0,0
507,Fear Street: 1666,2021,18+,70,1,0,0,0
508,Zathura: A Space Adventure,2005,7+,70,1,0,0,0
509,"Faith, Hope & Love",2019,7+,70,1,0,0,0
510,2 States,2014,7+,70,1,0,0,0
511,Grass is Greener,2019,,70,1,0,0,0
512,May the Devil Take You,2018,18+,70,1,0,0,0
513,Double Jeopardy,1999,18+,70,1,0,0,0
514,Ava,2020,18+,70,1,0,0,0
515,Barfi!,2012,all,70,1,0,0,0
